week_start,employee_id,employee_name,team,supervisor,calls_handled,sales_count,sales_revenue_rub,ai_errors_detected,supervisor_rejected_errors,recommendations_sent,recommendations_completed,training_minutes,qa_score,adherence_score,sales_per_call,rejection_rate,recommendation_uptake
2025-02-03,CC001,Ирина Волкова #1,Удержание,Роман М.,235,32,578433.53,26,10,16,8,30,73.5,0.585,2461.4192765957446,0.38461538461538464,0.5
2025-02-03,CC002,Максим Соколов #2,Продажи карт,Елена П.,259,36,567890.29,26,11,15,7,39,71.8,0.63,2192.6266023166027,0.4230769230769231,0.4666666666666667
2025-02-03,CC003,Алина Петрова #3,МСП,Анастасия К.,221,26,474246.76,22,11,11,5,41,72.4,0.592,2145.9129411764707,0.5,0.45454545454545453
2025-02-03,CC004,Владислав Морозов #4,Ипотека,Денис С.,231,37,520691.92,23,8,15,8,25,72.7,0.661,2254.0775757575757,0.34782608695652173,0.5333333333333333
2025-02-03,CC005,София Кузнецова #5,Удержание,Роман М.,186,27,404642.54,23,10,13,7,28,72.4,0.64,2175.49752688172,0.43478260869565216,0.5384615384615384
2025-02-03,CC006,Юлия Иванова #6,Продажи карт,Елена П.,263,38,599335.11,23,10,13,7,37,72.6,0.633,2278.84072243346,0.43478260869565216,0.5384615384615384
2025-02-03,CC007,Никита Федоров #7,МСП,Анастасия К.,227,35,502776.73,18,8,10,5,32,75.3,0.652,2214.875462555066,0.4444444444444444,0.5
2025-02-03,CC008,Артем Белов #8,Ипотека,Денис С.,227,36,493363.08,24,11,13,7,35,77.6,0.651,2173.40563876652,0.4583333333333333,0.5384615384615384
2025-02-03,CC009,Кристина Орлова #9,Удержание,Роман М.,248,27,436532.63,23,11,12,6,49,75.1,0.615,1760.2122177419355,0.4782608695652174,0.5
2025-02-03,CC010,Денис Макаров #10,Продажи карт,Елена П.,230,30,300000.0,25,10,15,8,37,79.3,0.645,1304.3478260869565,0.4,0.5333333333333333
2025-02-03,CC011,Ирина Волкова #11,МСП,Анастасия К.,267,37,403261.28,20,7,13,6,32,73.8,0.653,1510.341872659176,0.35,0.46153846153846156
2025-02-03,CC012,Максим Соколов #12,Ипотека,Денис С.,248,33,695592.91,21,8,13,7,32,75.6,0.68,2804.810120967742,0.38095238095238093,0.5384615384615384
2025-02-03,CC013,Алина Петрова #13,Удержание,Роман М.,226,31,488350.56,31,13,18,9,41,71.2,0.586,2160.843185840708,0.41935483870967744,0.5
2025-02-03,CC014,Владислав Морозов #14,Продажи карт,Елена П.,199,26,448361.7,17,7,10,5,30,68.9,0.599,2253.0738693467338,0.4117647058823529,0.5
2025-02-03,CC015,София Кузнецова #15,МСП,Анастасия К.,251,35,622603.93,14,6,8,4,39,80.1,0.656,2480.4937450199204,0.42857142857142855,0.5
2025-02-03,CC016,Юлия Иванова #16,Ипотека,Денис С.,195,26,352654.8,25,11,14,7,40,75.8,0.662,1808.4861538461537,0.44,0.5
2025-02-03,CC017,Никита Федоров #17,Удержание,Роман М.,270,34,579681.48,19,8,11,5,40,71.9,0.622,2146.9684444444442,0.42105263157894735,0.45454545454545453
2025-02-03,CC018,Артем Белов #18,Продажи карт,Елена П.,241,41,688387.16,20,9,11,6,27,74.7,0.703,2856.378257261411,0.45,0.5454545454545454
2025-02-03,CC019,Кристина Орлова #19,МСП,Анастасия К.,202,28,303042.37,27,12,15,8,29,72.9,0.665,1500.2097524752476,0.4444444444444444,0.5333333333333333
2025-02-03,CC020,Денис Макаров #20,Ипотека,Денис С.,244,35,593093.52,15,7,8,5,38,75.2,0.625,2430.711147540984,0.4666666666666667,0.625
2025-02-03,CC021,Ирина Волкова #21,Удержание,Роман М.,222,33,648015.06,22,10,12,6,28,76.0,0.654,2918.986756756757,0.45454545454545453,0.5
2025-02-03,CC022,Максим Соколов #22,Продажи карт,Елена П.,211,31,407949.36,29,14,15,8,35,76.5,0.641,1933.409289099526,0.4827586206896552,0.5333333333333333
2025-02-03,CC023,Алина Петрова #23,МСП,Анастасия К.,196,28,542321.65,21,9,12,7,40,70.6,0.592,2766.947193877551,0.42857142857142855,0.5833333333333334
2025-02-03,CC024,Владислав Морозов #24,Ипотека,Денис С.,206,29,401172.73,23,9,14,8,38,75.1,0.65,1947.4404368932037,0.391304347826087,0.5714285714285714
2025-02-03,CC025,София Кузнецова #25,Удержание,Роман М.,203,24,512221.15,24,9,15,9,40,80.4,0.659,2523.2568965517244,0.375,0.6
2025-02-03,CC026,Юлия Иванова #26,Продажи карт,Елена П.,237,33,637370.71,31,11,20,11,33,78.9,0.689,2689.3278902953584,0.3548387096774194,0.55
2025-02-03,CC027,Никита Федоров #27,МСП,Анастасия К.,221,28,552920.96,20,9,11,6,28,81.7,0.726,2501.9047963800904,0.45,0.5454545454545454
